,title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score
5674,Safe,"Streaming May 16, 2020",positive,87%,positive,75%
5675,Shock and Awe,"Streaming Jul 13, 2018",negative,28%,negative,42%
5676,Single White Female,"Streaming Apr 16, 2012",negative,53%,negative,44%
5677,The American,"Streaming May 17, 2024",,,positive,95%
5678,The Lady Vanishes,"Streaming Aug 8, 2015",positive,98%,positive,88%
5679,Toscana,"Streaming May 18, 2022",positive,71%,negative,41%
5680,eXistenZ,"Streaming Oct 8, 2016",positive,75%,positive,69%
5681,A Matter of Loaf and Death,"Streaming Aug 22, 2018",,,positive,77%
5682,A Scanner Darkly,"Streaming Aug 1, 2009",positive,68%,positive,74%
5683,A.I. Rising,"Streaming Mar 12, 2019",,,positive,85%
5684,Bad Words,"Streaming Jul 21, 2015",positive,65%,positive,61%
5685,Dead Man's Shoes,"Streaming Oct 15, 2016",positive,60%,positive,91%
5686,Director's Cut,"Streaming May 29, 2018",positive,80%,positive,86%
5687,Doomsday,"Streaming Jan 1, 2010",negative,50%,negative,44%
5688,Dope,"Streaming Jan 5, 2016",positive,88%,positive,83%
5689,Falling for Christmas,"Streaming Nov 10, 2022",positive,62%,negative,53%
5690,Farming,"Streaming Oct 25, 2019",negative,55%,positive,87%
5691,Flashdance,"Streaming Aug 1, 2013",negative,37%,positive,61%
5692,Freedom,"Streaming Jun 29, 2016",negative,0%,negative,52%
5693,Hayride to Hell,"Streaming Sep 3, 2024",,,positive,74%
5694,Heart of the Hunter,"Streaming Mar 29, 2024",positive,80%,negative,48%
5695,High School Musical 3: Senior Year,"Streaming Jan 1, 2014",positive,64%,positive,72%
5696,"Honey, I Shrunk the Kids","Streaming May 27, 2016",positive,76%,negative,54%
5697,In a Lonely Place,"Streaming Apr 25, 2014",positive,96%,positive,89%
5698,In a Valley of Violence,"Streaming Dec 27, 2016",positive,78%,negative,51%
5699,"Love, Weddings & Other Disasters","Streaming Dec 4, 2020",negative,3%,negative,24%
5700,Menace II Society,"Streaming Aug 10, 2016",positive,84%,positive,93%
5701,Miracle,"Streaming Jan 1, 2014",positive,81%,positive,90%
5702,Miracle on 34th Street,"Streaming Mar 1, 2013",positive,60%,positive,62%
5703,Mob Land,"Streaming Aug 25, 2023",negative,48%,positive,77%
5704,Naughty,"Streaming May 14, 2024",,,,
5705,Robin Robin,"Streaming Nov 24, 2021",positive,100%,positive,82%
5706,Sex After Kids,"Streaming Mar 22, 2016",,,negative,40%
5707,Shooting Stars,"Streaming Jun 2, 2023",negative,56%,positive,70%
5708,ThanksKilling,"Streaming Aug 15, 2016",,,negative,42%
5709,The Greatest Night in Pop,"Streaming Jan 29, 2024",positive,98%,positive,89%
5710,The Karate Kid Part II,"Streaming Apr 16, 2012",negative,47%,negative,52%
5711,The Right Stuff,"Streaming Aug 15, 2008",positive,96%,positive,90%
5712,The Souvenir,"Streaming Jul 30, 2019",positive,90%,negative,37%
5713,The Whole Nine Yards,"Streaming May 21, 2017",negative,43%,positive,64%
5714,Valhalla Rising,"Streaming Feb 28, 2017",positive,70%,negative,49%
5715,Zola,"Streaming Sep 14, 2021",positive,88%,positive,68%
5716,A Brighter Summer Day,"Streaming Mar 22, 2016",positive,100%,positive,94%
5717,A Face in the Crowd,"Streaming Oct 2, 2016",positive,89%,positive,94%
5718,Anchorman 2: The Legend Continues,"Streaming Dec 5, 2015",positive,74%,negative,52%
5719,Beauty and the Beast,"Streaming Feb 21, 2017",negative,41%,negative,54%
5720,Body Bags,"Streaming Nov 12, 2013",positive,73%,negative,44%
