Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
Patrice Laliberté,Julie Groleau,"Patrice Laliberté,Charles Dionne,Nicolas Krief",,Couronne Nord,,Mystery & Thriller,Canadian French,,"Mar 28, 2020",1h 23m,,The Decline,,,,
Lyle Mitchell Corbine Jr.,"Lyle Mitchell Corbine Jr.,Thomas Mahoney,Eric Tavitian",Lyle Mitchell Corbine Jr.,Vertical Entertainment,"MM2 Entertainment,Cinereach,Pureplay Entertainment,BoulderLight Pictures,Thunderbird Films,30West,Grey Hour Production Services,Logical Pictures",,"Mystery & Thriller,Drama",English,"Sep 3, 2021, Limited","Sep 3, 2021",1h 30m,,Wild Indian,,,,
Tyler Trumbo,Tyler Trumbo,Tyler Trumbo,,,,Drama,English,,"Jun 19, 2017",15m,,Frogman,,,,
Spike Lee,Brian Grazer,Russell Gewirtz,Universal Pictures,"Universal Pictures,40 Acres & A Mule Filmworks,Imagine Entertainment",R (Some Violent Images|Language),"Mystery & Thriller,Crime,Drama",English,"Mar 24, 2006, Original","Apr 3, 2016",2h 9m,"SDDS,Dolby Digital,DTS,Dolby SRD",Inside Man,$88.5M,Scope (2.35:1),,
"Robert Cullen,José Luis Ucha","Cecil Kramer,Peter Lewis","Gillian Berrow,Tim Sullivan",,"Entertainment One,Netflix,Boulder Media,Allspark Animation,Hasbro Studios",PG (Some Thematic Elements),"Kids & Family,Comedy,Animation",English,,"Sep 24, 2021",1h 30m,"Dolby Atmos,Dolby Digital",My Little Pony: A New Generation,,Scope (2.35:1),,
Boris Petroff,Boris Petroff,"Boris Petroff,Edward D. Wood Jr.",,"Boris Petroff Productions,Pat Patterson Productions",,Comedy,English,,,1h 4m,,Shotgun Wedding,,,,
Will Sharpe,"Adam Ackland,Ed Clarke,Leah Clarke,Guy Heeley","Will Sharpe,Simon Stephenson",Amazon Studios,"StudioCanal,Amazon Studios,Shoebox Films,Film 4,SunnyMarch",PG-13 (Strong Language|Some Thematic Material),"Biography,Drama",British English,"Oct 22, 2021, Limited","Nov 5, 2021",1h 51m,,The Electrical Life of Louis Wain,,,,
Raphaël Jacoulot,,,,,,Drama,Canadian French,,"Feb 25, 2020",2h 0m,,The Night Clerk,,,,
Karl Pfeiffer,,,Planet Weird,,,Documentary,English,,"Sep 8, 2023",1h 38m,,The Unbinding,,,,
Aitch Alberto,"Eugenio Derbez,Lin-Manuel Miranda,Ben Odell,Chris Parker,Kyra Sedgwick,Dylan Sellers,Valerie Stadler",Aitch Alberto,Blue Fox Entertainment,"Big Swing Productions,Boies Schiller Entertainment,5000 Broadway Productions,3Pas Studios,Limelight",PG-13 (Thematic Elements|Some Strong Violence|Smoking|Sexual Material|Strong Language|Teen Drug/Alcohol Use),"Drama,Comedy,Fantasy",English,"Sep 8, 2023, Limited","Nov 14, 2023",1h 36m,,Aristotle and Dante Discover the Secrets of the Universe,$372.1K,,,
Robert Connolly,"Robert Connolly,James Grandison,Liz Kearney","Robert Connolly,Robert Connolly",Amor Media,Arenamedia,PG,"Kids & Family,Drama,Adventure",English,"Mar 3, 2023, Limited","Apr 21, 2023",1h 42m,,Blueback,,,,
Goran Stolevski,"Kristina Ceyton,Samantha Jennings",Goran Stolevski,Focus Features,"Causeway Films,Universal Films",R (Some Drug Use|Sexual Content|Language Throughout),"Romance,Drama,LGBTQ+",English,"Feb 17, 2023, Limited","Mar 7, 2023",1h 39m,,Of an Age,$525.4K,,,
"Chris Wedge,Carlos Saldanha",Chris Wedge,"Lowell Ganz,Babaloo Mandel",20th Century Fox,"Blue Sky Studios,Fox Animation Studios",PG (Suggestive Humor|Some Brief Language),"Kids & Family,Comedy,Sci-Fi,Animation",English,"Mar 11, 2005, Wide","Mar 20, 2013",1h 30m,"Dolby SRD,DTS",Robots,,Scope (2.35:1),,
Chuck Vincent,Chuck Vincent,"Chuck Vincent,Craig Horrall",,"Platinum Pictures (II),Vestron Pictures",R,Comedy,English,,"Mar 22, 2018",1h 24m,,Sex Appeal,,,,
Terry Jansen,Danny Crossman,Danny Crossman,Indie Rights,Kolo Productions,,"Drama,War",English,,"Sep 11, 2024",1h 30m,,The Liberation Men,,,,
Giles Andrews,"Jackie Alixander,Giles Andrews,Heath Centazzo","Giles Andrews,Heath Centazzo",Gravitas Ventures,"CE Pictures,Hugger / Solo Management",,"Mystery & Thriller,Crime,Drama",English,,"Apr 16, 2024",1h 20m,,The Star City Murders,,,,
"Javier Ruiz Caldera,Alberto de Toro",Cristian Conti,Jaime Marques Olarreaga,,"Telecinco Cinema,Malnazidos, A.I.E.,Ikiru Films,Cactus Flower Producciones,Terraza Films, La",,"Mystery & Thriller,War,Horror",European Spanish,,"Jul 11, 2022",1h 41m,,Valley of the Dead,,,,
Nikola Kojo,"Nikola Kojo,Biljana Prvanovic",Nebojsa Romcevic,,,,Comedy,Serbian,,,,,Herd,,,,
David Farrier,"Alex Reed,Emma Slade,Ant Timpson,David Farrier",,Drafthouse Films,Firefly Films,,Documentary,Australian English,"Oct 6, 2023, Limited","Nov 21, 2023",1h 36m,,Mister Organ,$36.1K,,,
Troy Miller,,,,,TV-G,"Comedy,Stand-Up",English,,"Mar 18, 2021",1h 0m,,Nate Bargatze: The Greatest Average American,,,,
John Badham,Lynn Raynor,Matthew Tabak,,"Lifetime Television,Viacom Productions,Robert Greenwald Productions",TV-14 (S|D),"Drama,Mystery & Thriller",English,,"Jan 19, 2017",1h 36m,,Obsessed,,,,
"Laura Girolami,Federico Patrizi",,"Federico Patrizi,Laura Girolami",,,,Mystery & Thriller,English,,,1h 24m,,Surrounded,,,,
Fiona Robert,"Drea Clark,Fiona Robert,Sophia Robert","Sophia Robert,Fiona Robert",Vertical,Robert Sisters Pictures,,Drama,English,"Sep 6, 2024, Limited","Sep 6, 2024",1h 36m,,A New York Story,,,,
Billy Luther,Chad Burris,Billy Luther,ARRAY Releasing,"The Sundance Screenwriters' Lab,REI Co-op Studios,Fit Via Vi Film Productions,MACRO,BCD Travel,Good Gravy Films,River Road Entertainment",,Drama,English,"Nov 24, 2023, Limited","Nov 24, 2023",1h 23m,,Frybread Face and Me,,,,
Shigeaki Kubo,,Tsutomu Kuroiwa,Netflix,Credeus,,"Action,Adventure",Japanese,,"May 19, 2024",2h 8m,,Golden Kamuy,,,,
Unjoo Moon,Rosemary Blight,Emma Jensen,Quiver Distribution,"Goalpost Pictures,Deep Blue Pacific",,"Biography,Drama,Music",Australian English,"Sep 11, 2020, Limited","Sep 11, 2020",1h 57m,Dolby Digital,I Am Woman,,Flat (1.85:1),,
Fansu Njie,"Fansu Njie,Daniel Stisen","Andreas Vasshaug,Fansu Njie,Daniel Stisen",,"Daniel Stisen Productions,Fansu Film (as NJIE Film)",R (Violence and Language),"Action,Mystery & Thriller,Drama",English,,"Oct 19, 2021",1h 27m,,Last Man Down,,,,
Craig Boreham,"Ulysses Oliver,Dean Francis,Ben Ferris,Craig Boreham",Craig Boreham,Dark Star Pictures,"Breathless Films,Doco Digital,JJ Splice films",,"Drama,LGBTQ+",Australian English,"Feb 17, 2023, Limited","Mar 7, 2023",1h 35m,,Lonesome,,Scope (2.35:1),,
Lorcan Finnegan,"Brunella Cocchiglia,Emily Leo",Garret Shanley,RLJE Films,"Wild Swim Films,Epicmedia Productions,Lovely Productions,Screen Ireland,XYZ Films",,Mystery & Thriller,English,"Nov 4, 2022, Limited","Nov 22, 2022",1h 37m,,Nocebo,,,,
Josef Pitura-Riley,,Josef Pitura-Riley,,,,Sci-Fi,British English,,"Aug 13, 2020",19m,,Rewind,,,,
Dan Friedkin,"Danny Friedkin,Ryan Friedkin,Sabine Brian,Bradley Thomas","Mark Fergus,Hawk Ostby",TriStar Pictures,"Imperative Entertainment,NL Film",R (Some Language|Nudity|Violence),Drama,English,"Nov 20, 2020, Limited","Jan 29, 2021",1h 57m,,The Last Vermeer,$682.3K,Flat (1.85:1),,
Shlok Sharma,"S.M. Ferozeuddin Alameer,Guneet Monga,Achin Jain,Anurag Kashyap",Shlok Sharma,,"Khussro Films,Sikhya Entertainment",,"Drama,Romance",Hindi,,"Apr 4, 2017",1h 32m,,The Wretched,,,,
Alessio Di Giambattista,"Scott Connolly,Veronica Radaelli,Lorenzo Mazzé",Alberto Iozzia,,Orange Media,,"Comedy,Drama",English,,"Jun 1, 2020",1h 25m,,Better Days,,,,
Max Lowe,"Katy Chevigny,Marilyn Ness",,Netflix,Big Mouth Productions,,Documentary,Ukrainian,,"Oct 15, 2023",33m,,Camp Courage,,,,
Ant Timpson,"Daniel Bekerman,Toby Harvard,Katie Holly,Mette-Marie Kongsved,Emma Slade,Laura Tunstall",Toby Harvard,Saban Films,"Firefly Films,Nowhere,Blinder Films",R (Language Throughout|Graphic Nudity|Sexual Content|Strong Violence),"Comedy,Mystery & Thriller",English,"Feb 7, 2020, Limited","Feb 5, 2020",1h 33m,,Come to Daddy,$61.4K,Scope (2.35:1),,
,,,,,,Drama,Chinese,,,1h 30m,,Faithfully Yours,,,,
Matt Peters,,Ernie Altbacker,,"Warner Bros. Animation,DC Entertainment",R (Bloody Violence),"Action,Adventure,Animation",English,,"Oct 18, 2021",1h 18m,,Injustice: Gods Among Us,,,,
Bob Byington,"Bob Byington,Chris McKenna",Bob Byington,Magnolia Pictures,Americano Brutto,,Comedy,English,"Mar 29, 2024, Limited","Mar 29, 2024",1h 16m,,Lousy Carter,$11.2K,,,
Andrew Levitas,"Johnny Depp,Bill Johnson,David K. Kessler,Andrew Levitas,Sam Sarkar,Gabrielle Tana,Kevan Van Thompson","David K. Kessler,Stephen Deuters,Andrew Levitas,Jason Forman",Samuel Goldwyn Films,"Kreo Films FZ,Metalwork Pictures,Infinitum Nihil,Head Gear Films,Metrol Technology",R (Language Throughout),Drama,English,"Dec 15, 2021, Limited","Apr 8, 2022",1h 55m,Dolby Digital,Minamata,,Flat (1.85:1),,
Ruth Leitman,"Rachel Rozycki,Andrea Raby",,,Ruthless Films,,Documentary,English,"Oct 18, 2024, Limited","Oct 25, 2024",1h 40m,,No One Asked You,,,,
