Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Pou-Soi Cheang,"John Chong,Wilson Yip","Kin Yee Au,Kwan-Sin Shum,Lai Chun,Tai-lee Chan,Li Jun",Well Go USA Entertainment,"HG Entertainment,Media Asia Films Ltd. [hk],Lian Ray Pictures,One Cool Film Production,Entertaining Power",R (Language|Violence Throughout|Some Drug Content),"Action,Mystery & Thriller",Chinese,"Aug 9, 2024, Limited","Sep 3, 2024",$279.0K,2h 6m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Twilight of the Warriors: Walled In,,,
Francis Megahy,,,,,,"Crime,Drama",English,,,,1h 21m,,,Freelance,,,
Julia Ducournau,Jean-Christophe Reymond,Julia Ducournau,Neon,"Voo & be TV,Kazak Productions,arte France Cinéma,Frakas Productions",R (Graphic Nudity|Disturbing Material|Language|Sexual Content|Strong Violence),"Horror,Mystery & Thriller,Drama",French (France),"Oct 1, 2021, Wide","Oct 19, 2021",$1.3M,1h 48m,,Scope (2.35:1),Titane,,,
Chris Foggin,"Karl Hall,Ridoyanul Hoq,Piers Tempest,Matt Williams",Piers Ashworth,Samuel Goldwyn Films,"Rojovid Films,Netflix,Future Artists Entertainment,Tempo Productions Limited,Doco Digital,Ingenious Media,Automatik VFX",PG-13 (Some Strong Language),"Comedy,Biography,Drama",British English,"Aug 25, 2023, Limited","Aug 25, 2023",,1h 47m,Dolby Digital,,Bank of Dave,,,
Steven Soderbergh,Casey Silver,Ed Solomon,,"HBO Max,Warner Max,Warner Bros.",R (Sexual References|Language Throughout|Some Violence),"Crime,Drama,Action",English,,"Jul 1, 2021",,1h 55m,Dolby Digital,Scope (2.35:1),No Sudden Move,,,
George Miller,,,,,,,,,,,,,,Prey,,,
Joseph Conti,"Fred Tepper,Paul Conti,Joseph Conti","Tom Woosley,Michael Ciccolini",,Contifilms,,"Horror,Action",English,,"May 23, 2017",,1h 29m,,,Army Of The Dead,,,
Dave Unwin,,,,,,,,,,,,,,War Game,,,
Zach Braff,"Zach Braff,Pamela Koffler,Christina Piovesan,Florence Pugh,Noah Segal,Christine Vachon",Zach Braff,United Artists Releasing,"Elevation Pictures,Killer Films,Elevation Films,Metro-Goldwyn-Mayer (MGM)",R (Language Throughout|Drug Abuse|Some Sexual References),Drama,English,"Mar 24, 2023, Wide","Apr 11, 2023",$2.2M,2h 9m,Dolby Digital,Digital 2.39:1,A Good Person,,,
"Pete Davis,Rebecca Davis","Pete Davis,Rebecca Davis","Pete Davis,Rebecca Davis",Abramorama,Delevan Street Films,,"Documentary,History",English,"Jul 19, 2024, Limited","Oct 18, 2024",,1h 33m,,,Join or Die,,,
Roman Polanski,"Andrew Braunsberg,Roman Polanski","Roman Polanski,Kenneth Tynan",Columbia Pictures,"Columbia Pictures,Caliban Films,Playboy Productions Inc.",R,Drama,English,"Dec 15, 1971, Original","Dec 15, 2010",,2h 20m,Surround,,The Tragedy of Macbeth,,,
Chris Williams,"Jed Schlanger,Chris Williams","Nell Benjamin,Chris Williams",,"Netflix Animation,Netflix",PG (Action|Violence|Some Language),"Kids & Family,Fantasy,Adventure,Comedy,Animation",English,"Jun 24, 2022, Limited","Jul 8, 2022",,1h 55m,"Dolby Atmos,Dolby Digital",Flat (1.85:1),The Sea Beast,,,
"Jonathan auf der Heide,Tony Ayres,Robert Connolly,Jub Clerc","Philippa Campey,Robert Connolly,Alex Barnes,Donna Chang","Jub Clerc,Emily Ballou,Marcel Dorney,Jonathan auf der Heide",,"Arenamedia,Screen Australia",R (Violence Including a Rape|Drug Use|Some Sexual Content|Language),Drama,English,,"Apr 12, 2016",,3h 0m,,,The Turning,,,
Matti Geschonneck,"Reinhold Elschot,Friederich Oetker","Magnus Vattrodt,Paul Mommertz,Magnus Vattrodt,Paul Mommertz",,"Medienboard Berlin-Brandenburg,Constantin Television,FilmFernsehFonds Bayern,Zweites Deutsches Fernsehen (ZDF)",,"History,Drama",German,,,,1h 48m,,,The Conference,,,
George Gallo,"Andrea Iervolino,Monika Bacardi,Joe Lemmon,Bret Saxon,Jeff Bowler,Chris Arthur,Danielle Maloni,Buddy Wyrick","Bob Bowersox,Jennifer Lemmon,Francesco Cinquemani,Giorgia Iannone,Luca Giliberto,Ferdinando Dell'Omo",Redbox Entertainment,"March On Productions,Black Diamond Films,Iervolino Entertainment,Iervolino & Lady Bacardi Entertainment,Wonderfilm Media",,"Mystery & Thriller,Drama",English,"Mar 10, 2023, Limited","Mar 10, 2023",,1h 32m,,Scope (2.35:1),The Ritual Killer,,,
Tyler Babin,,,Netflix,,,"Comedy,Stand-Up",English,,"Oct 22, 2024",,1h 1m,,,Hasan Minhaj: Off With His Head,,,
Christy Cabanne,,Christy Cabanne,Triangle Distributing Corporation,Fine Arts Film Company,,"Adventure,Comedy,Western",,"Sep 23, 1915, Original",,,56m,,"Academy (1.33:1),35mm",Lamb,,,
Dimitri Logothetis,"Dimitri Logothetis,Joel Shapiro","Dimitri Logothetis,Gary Scott Thompson",Warner Bros.,"120dB Films,Acme Rocket Fuel",,Action,English,"Aug 16, 2024, Limited","Aug 16, 2024",,1h 30m,,,Gunner,,,
Blitz Bazawule,"Oprah Winfrey,Steven Spielberg,Scott Sanders,Quincy Jones",Marcus Gardley,Warner Bros. Pictures,"QJP,Amblin Entertainment,SGS Pictures,OW Films",PG-13 (Mature Thematic Content|Language|Sexual Content|Violence),"Musical,Drama",English,"Dec 25, 2023, Wide","Jan 16, 2024",$60.6M,2h 21m,"Dolby Atmos,Dolby Digital",Flat (1.85:1),The Color Purple,,,
Mohsen Makhmalbaf,,Mohsen Makhmalbaf,,"Bac Films,Makhmalbaf Film House",,Drama,Persian,"Dec 14, 2001, Wide",,$1.4M,1h 25m,Mono,Flat (1.85:1),Kandahar,,"May 1, 2008",
Adrian Panek,Ewa M. Pawłowska,"Adrian Panek,Łukasz M. Maciejewski",Netflix,Aurum Film,,"Crime,Drama,Mystery & Thriller",Polish,,"May 29, 2024",,1h 51m,,,Colors of Evil: Red,,,
Brandon Vietti,"James Krieg,Brandon Vietti,Cindy Rago",,Warner Bros.,"Paramount Pictures,DC Entertainment,Warner Bros. Animation",,"Drama,Action,Adventure,Mystery & Thriller,Animation",English,,"Aug 13, 2024",,1h 23m,,,Watchmen Chapter I,,,
John Erick Dowdle,,"Drew Dowdle,John Erick Dowdle",,"Brothers Dowdle Productions,Poughkeepsie Films",R (Graphic Descriptions|Terror|Sadistic Violence and Torture),"Horror,Mystery & Thriller",English,,"Jan 2, 2020",,1h 26m,,,The Poughkeepsie Tapes,,,
Christopher Landon,Jason Blum,"Michael Kennedy,Christopher Landon",Universal Pictures,Blumhouse Productions,R (Sexual Content|Language Throughout|Strong Bloody Horror Violence),"Horror,Comedy",English,"Nov 13, 2020, Wide","Dec 4, 2020",$9.0M,1h 41m,Dolby Digital,Scope (2.35:1),Freaky,,,
McG,"Ben Everard,Jennifer Garner,Lawrence Grey,Nicole King,McG,Mary Viola","Chris Shafer,Victoria Strouse,Adam Sztykiel,Paul Vicknair",Netflix,"Grey Matter Productions,Talent One,Linden Entertainment",PG (Suggestive Material|Some Thematic Elements|Language|Teen Partying),"Kids & Family,Comedy",English,"Nov 30, 2023, Limited","Nov 30, 2023",,1h 41m,Dolby Digital,,Family Switch,,,
"Jerome Robbins,Robert Wise",Robert Wise,"Jerome Robbins,Arthur Laurents,Ernest Lehman",United Artists,"United Artists,Mirisch Films,Beta Productions",,Musical,English,"Oct 18, 1961, Wide","Sep 20, 2015",,2h 31m,"Stereo,Magnetic Stereo 6 Track",70mm,West Side Story,,,
Michael B. Jordan,"Irwin Winkler,Charles Winkler,William Chartoff,David Winkler,Ryan Coogler,Michael B. Jordan,Elizabeth Raposo,Jonathan Glickman,Sylvester Stallone","Keenan Coogler,Zach Baylin",United Artists Releasing,"Outlier Society,Metro-Goldwyn-Mayer (MGM),Glickmania,Chartoff-Winkler Productions,Proximity",PG-13 (Some Strong Language|Intense Sports Action|Violence),"Drama,Action",English,"Mar 3, 2023, Wide","Mar 31, 2023",$156.2M,1h 56m,Dolby Digital,Digital 2.39:1,Creed III,,,
Clay Kaytis,"Irwin Zwilling,Marc Toberoff,Cale Boyter,Jay Ashenfelter,Peter Billingsley,Vince Vaughn",Nick Schenk,,"Legendary Pictures,Wild West Picture Show",PG (Some Rude Material/Behavior|Language),"Kids & Family,Holiday,Comedy,Drama",English,,"Nov 17, 2022",,1h 41m,Dolby Atmos,,A Christmas Story Christmas,,,
Clea Duvall,"Marty Bowen,Isaac Klausner","Clea Duvall,Mary Holland",,"Hulu Originals,TriStar Pictures,Temple Hill Entertainment,eOne,Entertainment One",PG-13 (Some Language),"Holiday,Romance,Comedy,LGBTQ+",English,,"Nov 25, 2020",,1h 42m,,,Happiest Season,,,
Paul Komadina,Paul Komadina,Paul Komadina,,,,"Comedy,Horror",English,,"Jun 18, 2016",,1h 27m,,,The 355,,,
Thomas Campbell,,,,,,Documentary,English,,,,1h 15m,,,The Present,,,
Jessie Maple,,,,,,Drama,English,,,,1h 10m,,,Will,,,
Darius Marder,"Sacha Ben Harroche,Bert Hamelinck","Darius Marder,Abraham Marder",Amazon Studios,"Caviar,Ward Four,Flat 7 Productions",R (Language Throughout|Brief Nude Images),Drama,English,"Nov 20, 2020, Limited","Dec 4, 2020",,2h 0m,Dolby Digital,Scope (2.35:1),Sound of Metal,,,
Aaron Fradkin,"Victoria Fratz Fradkin,Paul Kim,Adam Liderman,Aaron Fradkin","Aaron Fradkin,Victoria Fratz Fradkin",Epic Pictures,Social House Films,,Drama,English,"Sep 20, 2024, Limited","Sep 24, 2024",,1h 22m,,,Beezel,,,
"Nick Bruno,Troy Quane","Roy Lee,Karen Ryan,Julie Zackary","Robert L. Baird,Lloyd Taylor",Netflix,"Vertigo Entertainment,Sony Pictures Animation,Annapurna Pictures,Double Negative (DNEG),DAMN! Show Productions,Toei Animation",PG (Thematic Elements|Some Language|Rude Humor|Violence and Action),"Action,Adventure,Animation",English,"Jun 23, 2023, Limited","Jun 30, 2023",,1h 41m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),Nimona,,,
"Barry Cook,Tony Bancroft",Pam Coats,"Rita Hsiao,Christopher Sanders,Philip LaZebnik,Raymond Singer,Eugenia Bostwick-Singer",Buena Vista Pictures,"Walt Disney Pictures,Walt Disney Animation",G,"Kids & Family,Musical,Animation",English,"Jun 19, 1998, Wide","Jan 1, 2014",$120.6M,1h 28m,Surround,,Mulan,,,
Chris McKay,"Robert Kirkman,David Alpert,Bryan Furst,Sean Furst,Chris McKay",Ryan Ridley,Universal Pictures,"Universal Studios,Skybound Entertainment",R (Language Throughout|Bloody Violence|Some Drug Use|Some Gore),"Horror,Action,Comedy,Fantasy",English,"Apr 14, 2023, Wide","May 2, 2023",$17.1M,1h 33m,Dolby Digital,Digital 2.39:1,Renfield,,,
Sammi Cohen,"Tim Herlihy,Elysa Koplovitz Dutton,Leslie Morgenstein,Adam Sandler","Alison Peck,Fiona Rosenbloom",Netflix,"Alloy Entertainment,Netflix,Happy Madison Productions",PG-13 (Brief Teen Drinking|Strong Language|Some Crude/Suggestive Material),Comedy,English,"Aug 25, 2023, Limited","Aug 25, 2023",,1h 41m,,,You Are So Not Invited to My Bat Mitzvah,,,
Rebecca Miller,"Damon Cardasis,Anne Hathaway,Pamela Koffler,Rebecca Miller,Christine Vachon,Len Blavatnik",Rebecca Miller,Vertical,AI-Film,R (Some Language),"Comedy,Drama,Romance",English,"Oct 6, 2023, Limited","Nov 10, 2023",,1h 42m,,,She Came to Me,,,
Josell Ramos,Josell Ramos,Josell Ramos,,,,Documentary,English,,,,1h 29m,,,Maestro,,,
Matthias Schweighöfer,"Misha Bukowski,Wesley Coller,Dan Maag,Matthias Schweighöfer,Deborah Snyder,Zack Snyder","Shay Hatten,Zack Snyder",,"Pantaleon Films,Film United,The Stone Quarry",,"Action,Crime,Drama,Comedy",English,,"Oct 29, 2021",,2h 7m,Dolby Atmos,,Army of Thieves,,,
Richard Martini,Richard Martini,Richard Martini,,,,"Adventure,Comedy,Fantasy",English,,,,1h 20m,,,Camera,,,
Irving Pichel,,"Garrett Fort,Marion Dix,Ralph Block",,RKO Radio Pictures Inc.,,"Mystery & Thriller,Crime,Drama",English,,"Jan 1, 2009",,1h 0m,,,Before Dawn,,,
"Hannah Marks,Joey Power","Jordan Yale Levine,Jordan Beckerman,Michael J. Rothstein,Sean Glover","Hannah Marks,Joey Power",Good Deed Entertainment,"Good Deed Entertainment,Yale Productions",,"Romance,Comedy",English,"Oct 12, 2018, Limited","Oct 15, 2018",,1h 35m,,,After Everything,,,
Caye Casas,,"Caye Casas,Cristina Borobia,Cristina Borobia,Caye Casas",Cinephobia Releasing,"Alhena Films,La Charito Films,Apocalipsis Producciones",,"Horror,Crime,Drama,Comedy",Spanish,"Apr 19, 2024, Limited","May 14, 2024",,1h 31m,,,The Coffee Table,,,
Annabelle Attanasio,"Anja Murmann,Sabine Schenk,Lizzie Shapiro,Taylor Shung",Annabelle Attanasio,Utopia,"Thick Media Co.,Shorelight Pictures",R (Strong Graphic Violence|Grisly Images|Drug Use and Language),Drama,English,"Nov 13, 2019, Limited","Feb 14, 2020",$56.9K,1h 28m,,,Mickey and the Bear,,,
Curtis Hanson,"David Foster,Lawrence Turman",Denis O'Neill,Universal Pictures,"Universal Pictures,David Foster Productions,Turman-Foster Company",PG-13,Action,English,"Sep 30, 1994, Wide","Apr 3, 2016",$46.5M,1h 51m,"Surround,Stereo",,River Wild,,,
Kyle Balda,"Christopher Meledandri,Janet Healy,Chris Renaud",Matthew Fogel,Universal Pictures,"Universal Pictures,Illumination Entertainment",PG (Some Action/Violence|Rude Humor),"Kids & Family,Comedy,Adventure,Animation",English,"Jul 1, 2022, Wide","Sep 23, 2022",$369.5M,1h 27m,"SDDS,Dolby Digital",Scope (2.35:1),Minions: The Rise of Gru,,,
Mauricio Eça,Marcelo Braga,L.G. Bayão,Amazon Studios,"Amazon,Santa Rita Film Co.",,"Documentary,Crime,Drama",Brazilian Portuguese,,"Oct 18, 2024",,1h 43m,,,The Park Maniac,,,
Phil Tippett,Phil Tippett,Phil Tippett,,Tippett Studio,,"Horror,Fantasy,Animation,Adventure",English,"Jun 16, 2022, Limited","Jun 16, 2022",$322.4K,1h 23m,,Flat (1.85:1),Mad God,,,
Maclain Nelson,David M. Wulf,Andy Sandberg,,Hallmark Media,TV-G,"Holiday,Romance,Comedy",English,,"Nov 26, 2022",,1h 24m,Stereo,HDTV,Haul Out the Holly,,,
Jamie Payne,"Peter Chernin,Neil Cross,Idris Elba,David Ready,Jenno Topping",Neil Cross,Netflix,"BBC Films,Chernin Entertainment,BBC Studios",R (Some Sexual Material|Language|Disturbing/Violent Content),"Crime,Drama,Mystery & Thriller",British English,"Feb 24, 2023, Limited","Mar 10, 2023",,2h 8m,Dolby Digital,,Luther: The Fallen Sun,,,
Angus MacLane,Galyn Susman,"Jason Headley,Angus MacLane",Disney/Pixar,"Pixar Animation Studios,Walt Disney Pictures",PG (Action/Peril),"Kids & Family,Comedy,Adventure,Sci-Fi,Animation,Action",English,"Jun 17, 2022, Wide","Aug 3, 2022",$118.3M,1h 40m,"DTS,Dolby Digital,Dolby Atmos",Scope (2.35:1),Lightyear,,,
Liz W. Garcia,"Jon Berg,Greg Silverman",Liz W. Garcia,Amazon MGM Studios,Stampede Ventures,PG-13,Comedy,English,,"Jul 4, 2024",,1h 50m,,,Space Cadet,,,
Sara Zandieh,"Mike Karz,William Bindley,Matthew Tabak,Matt Luber,Lena Roklin",Matthew Tabak,Brainstorm Media,Gulfstream Pictures,PG-13 (Some Strong Language|Suggestive References),"Romance,Comedy,Drama",English,"Oct 20, 2023, Limited","Nov 10, 2023",$168.1K,1h 26m,,,The Other Zoey,,,
Chim Si-Yuen,,,,,,Comedy,Chinese,,,,1h 43m,,,Your Place or Mine,,,
Jeff Barnaby,"John Christou,Robert Vroom",Jeff Barnaby,,Prospector Films,,Horror,English,,"Apr 28, 2020",,1h 36m,,Scope (2.35:1),Blood Quantum,,,
John Whitesell,"McG,Mary Viola",Tiffany Paulsen,,"Netflix,Wonderland Sound and Vision",,"Romance,Comedy",English,,"Oct 28, 2020",,1h 43m,,,Holidate,,,
Nick McKinless,Ben Jacques,Joshua Todd James,Brainstorm Media,Signature Entertainment,,"Action,Mystery & Thriller",British English,"Oct 4, 2024, Limited","Oct 4, 2024",,1h 29m,,,Take Cover,,,
R. F. Pangborn,R. F. Pangborn,"R. F. Pangborn,Ryan Citron",,,,Horror,English,,,,1h 52m,,,The Sadness,,,
Shaan I. Memon,,,,,,Drama,English,,,,21m,,,Fitting In,,,
Gabriel Alfonzo,"Gabriel Alfonzo,Jorge F. Rodriguez",Jorge F. Rodriguez,,"Gabe Reel,Olympusat,Gran Cine Producciones",,Mystery & Thriller,Spanish,,,,,,,Mea Culpa,,,
Lin-Manuel Miranda,"Brian Grazer,Ron Howard,Lin-Manuel Miranda,Julie Oh",Steven Levenson,Netflix,"5000 Broadway Productions,Imagine Entertainment",PG-13 (Some Strong Language|Drug References|Some Suggestive Material),"Musical,Drama,Biography",English,"Nov 12, 2021, Limited","Nov 19, 2021",,1h 55m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),"Tick, Tick... Boom!",,,
Wong Chung,,,,,,Mystery & Thriller,Chinese,,"May 22, 2017",,1h 39m,,,The Informer,,,
Lila Neugebauer,"Jennifer Lawrence,Justine Ciarrocchi","Ottessa Moshfegh,Luke Goebel,Elizabeth Sanders",A24,"IPR.VC,A24,IAC Films,Excellent Cadaver",R (Drug Use|Some Language|Sexual References),Drama,English,"Nov 4, 2022, Limited","Nov 4, 2022",,1h 32m,,Flat (1.85:1),Causeway,,,
Phillip Noyce,"Daniel Grodnik,Mitchell Welch,Ryan Donnell Smith,Brent C. Johnson,Jeff Holland",Richard Wenk,Vertical,"UTA Independent Film Group,Foresight Unlimited,Streamline Global Group,Daniel Grodnik Productions,Boomtown Media Partners",,"Action,Mystery & Thriller",English,"Dec 8, 2023, Limited","Dec 8, 2023",,1h 30m,,,Fast Charlie,,,
Cooper Raiff,"Ro Donnelly,Erik Feig,Dakota Johnson,Cooper Raiff,Jessica Switch",Cooper Raiff,Apple TV+,"Picturestart,Endeavor Content,TeaTime Pictures",R (Language|Some Sexual Content),"Comedy,Drama",English,"Jun 17, 2022, Limited","Jun 17, 2022",,1h 47m,,,Cha Cha Real Smooth,,,
James Ashcroft,"Desray Armstrong,Mike Minogue,Catherine Fitzgerald","James Ashcroft,Eli Kent,Eli Kent,James Ashcroft",Dark Sky Films,,,"Horror,Mystery & Thriller",Australian English,"Oct 1, 2021, Limited","Oct 1, 2021",,1h 30m,,,Coming Home in the Dark,,,
"Dan Berk,Robert Olsen",Dan Kagan,"Dan Berk,Robert Olsen",,"Paramount Players,Quay Street Productions",R,"Mystery & Thriller,Sci-Fi,Drama",English,,"Oct 7, 2022",,1h 24m,,Flat (1.85:1),Significant Other,,,
Ryûsuke Hamaguchi,"Tsuyoshi Gorô,Misaki Kawamura,Osamu Kubota,Sachio Matsushita,Yoshito Nakabe,Keiji Okumura,Jin Suzuki,Teruhisa Yamamoto","Ryûsuke Hamaguchi,Takamasa Oe",Sideshow / Janus Films,"Nippon Shuppan Hanbai (Nippan) K.K.,Drive My Car Production Committee,Bitters End,Culture Entertainment,C&I Entertainment,The Asahi Shimbun Company",,Drama,Japanese,"Nov 24, 2021, Limited","Mar 2, 2022",$2.3M,2h 59m,Dolby Digital,Flat (1.85:1),Drive My Car,,,
"Veronika Franz,Severin Fiala","Simon Oakes,Aaron Ryder,Aliza James","Sergio Casci,Veronika Franz,Severin Fiala",Neon,"Hammer Films,FilmNation",R (Language and Brief Nudity|Disturbing Violence|Some Bloody Images),"Horror,Mystery & Thriller",English,"Feb 7, 2020, Limited","May 3, 2020",$2.1M,1h 48m,,Flat (1.85:1),The Lodge,,,
Simon Cellan Jones,,,,,,Drama,English,,,,1h 30m,,,Coup!,,,
Jaume Collet-Serra,"John Davis,John Fox,Beau Flynn,Dwayne Johnson,Dany Garcia,Hiram Garcia","Michael Green,Glenn Ficarra,John Requa",Walt Disney,"Flynn Picture Company,Walt Disney Pictures,Seven Bucks Productions,Davis Entertainment,TSG Entertainment",PG-13 (Adventure Violence),"Adventure,Action,Comedy,Fantasy",English,"Jul 30, 2021, Wide","Aug 31, 2021",$117.0M,2h 7m,Dolby Atmos,Scope (2.35:1),Jungle Cruise,,,
Juan Pablo Arias Muñoz,"Daniel Aspromonte,Christina Moore",John Ducey,ESX Entertainment,ESX Entertainment,R (Bloody Violence),Horror,English,"Sep 27, 2024, Limited","Oct 1, 2024",,1h 36m,,,The Curse of the Necklace,,,
Tyler Spindel,"Allen Covert,Kevin Grady,Adam Sandler",Chris Pappas,,"Happy Madison Productions,QC Entertainment,Netflix",,Comedy,English,,"May 19, 2020",,1h 29m,,,The Wrong Missy,,,
Eric Appel,"Lia Buman,Mike Farah,Joe Farrell,Tim Headington,Whitney Hodack,Max Silva,Weird Al Yankovic","Eric Appel,Weird Al Yankovic",The Roku Channel,"Funny or Die,The Roku Channel,Tango Entertainment",,"Biography,Comedy,Music",English,"Nov 1, 2022, Limited","Nov 4, 2022",,1h 48m,,Scope (2.35:1),Weird: The Al Yankovic Story,,,
Peter Handford,,Peter Handford,,,,Horror,English,,,,1h 34m,,,Heretic,,,
Stephen Shimek,"Jerome Reygner-Kalfon,Sebastien Semon,Zeus Zamani",Brian O'Donnell,Grindstone Entertainment,"Ace Entertainment Films,Lionsgate,Ari Productions",PG-13 (Violent Content|Smoking),Mystery & Thriller,English,,"Apr 25, 2023",,1h 30m,,,Invitation to a Murder,,,
Michael M. Scott,Harvey Kahn,Tracy Rosen,,"Resort Road Productions,Front Street Pictures",TV-G,"Drama,Romance",English,,"May 9, 2017",,1h 23m,,,Love Again,,,
Clement Virgo,"Damon D'Oliveira,Clement Virgo",,,Conquering Lion Productions,,Drama,English,,"Jul 26, 2020",,1h 32m,,,Lie With Me,,,
Peter Wellington,"Simone Urdl,Jennifer Weiss",Peter Wellington,Odeon Films,Film Farm Productions,,Drama,English,"Aug 29, 2003, Wide",,,1h 31m,Surround,,Luck,,,
D.W. Griffith,,D.W. Griffith,,American Mutoscope & Biograph,,Action,,,,,16m,,,The Call of the Wild,,,
Audrey Cummings,"Robert A. Daly Jr.,Eric Gozlan,David Lipper,Vindhya Sagar",Richard Taylor,The Avenue,"Goldrush Entertainment,Latigo Films",R (A Sexual Reference|Violence|Some Language),"Horror,Western",English,"Aug 23, 2024, Limited","Aug 23, 2024",,1h 33m,,,Place of Bones,,,
,,,Netflix,,,"Crime,Documentary",English,,"Sep 25, 2024",,1h 28m,,,Jailbreak: Love on the Run,,,
Bobby Roth,Edwin Self,,,"Alliance Atlantis Communications,Cosgrove/Meurer Productions,Alliance Communications Corporation",TV-G,Drama,English,,"Jun 5, 2017",,1h 36m,,,Inheritance,,,
Michael Andrew Pascal,,,,,,"Romance,Comedy",English,,"Jan 16, 2018",,1h 37m,,,Spin the Bottle,,,
Richard Holm,Joakim Hansson,Richard Holm,Netflix,"SF Studios,Mjölk Movies,Film Tampere",,"Action,Drama,Mystery & Thriller",Swedish,,"Feb 16, 2024",,1h 43m,,,The Abyss,,,
Jeff Mahler,Jeff Mahler,Jeff Mahler,,,,Mystery & Thriller,English,,,,1h 39m,,,Inside,,"Jan 23, 2007",
Matthijs van Heijningen Jr.,Alain De Levita,Paula van der Oest,Epic Pictures,"Levitate Film,Evangelische Omroep,Caviar Film Financing",,Drama,Dutch,"Aug 2, 2024, Limited","Oct 15, 2021",,2h 4m,,,The Forgotten Battle,,,
Lee Breuer,"Samuel Butler Jr.,Eric Marciano","Lee Breuer,Eric Marciano",,,,Documentary,English,,,,2h 0m,,,The Book of Clarence,,,
Nora Fingscheidt,"Sandra Bullock,Veronica Ferres,Graham King","Peter Craig,Hillary Seitz,Courtenay Miles",Netflix,"Construction Film,GK Films,Fortis Films",R (Language and Violence),Drama,English,"Nov 24, 2021, Limited","Dec 10, 2021",,1h 52m,Dolby Digital,,The Unforgivable,,,
Alexander Pineiro,Jetaun Maldonado,Alexander Pineiro,,,,"Mystery & Thriller,Crime,Drama",English,,,,11m,,,Retribution,,,
"Tomm Moore,Ross Stewart","Tomm Moore,Stéphan Roelants,Nora Twomey,Paul Young",Will Collins,GKIDS,"Cartoon Saloon,SIF 309 Film Music,Dentsu Entertainment USA",PG (Peril|Brief Language|Scary Images|Sequences of Violence|Some Thematic Elements),"Fantasy,Adventure,Animation",English,"Nov 13, 2020, Limited","Dec 11, 2020",,1h 43m,,Flat (1.85:1),Wolfwalkers,,,
IVES,"Cecil Chambers,Joel Cohen","Dipo Oseni,Doug Richardson",Saban Films,"Convergence Entertainment,BondIt Media Capital,Buffalo 8 Productions",R (Language),"Action,Mystery & Thriller",English,"Apr 26, 2024, Limited","Apr 26, 2024",,1h 32m,,Digital 2.39:1,Cash Out,,,
Stephen Cognetti,Joe Bandelli,"Stephen Cognetti,Stephen Cognetti",Terror Films,"Cognetti Films,Marylous' Boys",,Horror,English,"Oct 24, 2023, Limited","Oct 30, 2023",,1h 37m,,,Hell House LLC Origins: The Carmichael Manor,,,
Clive Barker,Christopher Figg,Clive Barker,"New World Pictures,Anchor Bay Entertainment,Image Entertainment Inc.",Rivdel Films,R,Horror,English,"Sep 18, 1987, Original","Oct 25, 2016",$13.3M,1h 33m,"Surround,Dolby Stereo",Flat (1.85:1),Hellraiser,,,
Robert Rippberger,"KT Kent,Robert Rippberger","Robert Rippberger,Spencer Moleda",VMI Worldwide,"Sandeep Sekhar Films,SIE Films,Slated,Argentic Productions",,"Horror,Mystery & Thriller",English,"Feb 11, 2022, Limited","Feb 11, 2022",,1h 34m,,,Those Who Walk Away,,,
John Sturges,Harry Tatelman,Walter Newman,,RKO Radio Pictures Inc.,,"Drama,Adventure",English,,,,1h 37m,,,Underwater,,,
Kogonada,"Andrew Goldman,Caroline Kaplan,Paul Mezey,Theresa Park",Kogonada,A24,"A24,Per Capita Productions,Cinereach",PG (Some Thematic Elements|Language),"Sci-Fi,Drama",English,"Mar 4, 2022, Limited","Mar 4, 2022",,1h 41m,,Scope (2.35:1),After Yang,,,
Mélanie Delloye,,,,Virginie Films ,,Drama,French (France),,,,1h 31m,,,The Estate,,,
Alfred Steinhardt,,,,,,Drama,Hebrew,,,,1h 40m,,,The Father,,,
Babak Anvari,Lucan Toh,"Babak Anvari,Namsi Khan",,"Two & Two Pictures,New Regency,Film 4",,"Mystery & Thriller,Drama,Crime",British English,,"Aug 31, 2022",,1h 50m,,,I Came By,,,
Alan Taylor,"David Chase,Lawrence Konner,Nicole Lambert","David Chase,Lawrence Konner",Warner Bros. Pictures,"New Line Cinema,Chase Films,Home Box Office (HBO),HBO Films,Warner Bros.",R (Sexual Content|Pervasive Language|Some Nudity|Strong Violence),"Crime,Drama",English,"Oct 1, 2021, Wide","Oct 1, 2021",$8.2M,2h 0m,Dolby Atmos,Scope (2.35:1),The Many Saints of Newark,,,
Clair Titley,"Andee Ryder,Ian Bonhôte,Megumi Inman",Clair Titley,Hulu,Misfits Entertainment,,Documentary,English,,"May 2, 2024",,1h 30m,,,The Contestant,,,
Walt Dohrn,Gina Shay,,Universal Pictures,DreamWorks Animation,,"Kids & Family,Comedy,Fantasy,Animation",English,"Nov 17, 2023, Wide","Dec 19, 2023",$103.0M,,,Digital 2.39:1,Trolls Band Together,,,
Arvel Chappell III,"Codie Elaine Oliver,Noah Weinstein",Matt Saracusa,,,,Comedy,English,,,,26m,,,Good Grief,,,
