Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
James Gunn,,James Gunn,,,,"Action,Adventure,Comedy,Holiday",English,,"Nov 25, 2022",,44m,,,The Guardians of the Galaxy Holiday Special,,,
Tyler Perry,"Tyler Perry,Meagan Good,Angi Bones,Will Areu,Dianne Ashford",Tyler Perry,Prime Video,Amazon MGM Studios,R (Language|Violence|Some Sexual Content),Drama,English,,"Jul 11, 2024",,2h 23m,,,Divorce in the Black,,,
Andrew Patterson,"Adam Dietrich,Melissa Kirkendall,James Montague",James Montague,Amazon Studios,GED Cinema,PG-13 (Brief Strong Language),"Fantasy,Mystery & Thriller",English,"May 15, 2020, Limited","May 31, 2020",,1h 30m,,Scope (2.35:1),The Vast of Night,,,
Haruo Sotozaki,,,Funimation,,R (Violence and Bloody Images),"Fantasy,Adventure,Action,Anime",Japanese,"Apr 23, 2021, Wide","Jun 22, 2021",,1h 57m,Dolby Digital,,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,,
"Christie Will,Christie Will","Oliver De Caigny,Timothy O. Johnson",Barbara Kymlicka,,"Annuit Coeptis Entertainment II,Johnson Production Group",TV-G,"Holiday,Romance",English,,"Jan 4, 2017",,1h 27m,,,Falling for Christmas,,,
Graham Hughes,"Evrim Ersoy,Graham Hughes",Graham Hughes,Dark Sky Films,Enlightened Monster Productions,,"Horror,Sci-Fi",English,"Aug 23, 2024, Limited","Aug 23, 2024",,1h 17m,,,Hostile Dimensions,,,
Daniel Goldhaber,"Isa Mazzei,Daniel Goldhaber,Ariela Barer,Adam Wyatt Tate,David Grove Churchill Viste","Ariela Barer,Jordan Sjol,Daniel Goldhaber",NEON,"The Searchers NV,Chrono,Spacemaker Productions,Lyrical Media",R (Some Drug Use|Language Throughout),"Mystery & Thriller,Drama",English,"Apr 7, 2023, Limited","Aug 18, 2023",$725.7K,1h 39m,,,How to Blow Up a Pipeline,,,
Larry Clark,Cary Woods,"Harmony Korine,Jim Lewis,Larry Clark",Miramax Films,"Miramax Films,Independent Pictures",,Drama,English,"Jul 28, 1995, Original","Jun 28, 2020",$5.4M,1h 30m,Stereo,,Kids,,,
Liza Johnson,Jack Petrik,"Kaz,Tom Stern",Netflix,"BCD Travel,Nickelodeon Animation Studios,United Plankton Pictures,Nickelodeon Movies",,"Kids & Family,Adventure,Fantasy,Animation",English,,"Aug 2, 2024",,1h 58m,,,Saving Bikini Bottom: The Sandy Cheeks Movie,,,
Ron Howard,"Brian Grazer,Ron Howard,Karen Lunder,P.J. van Sandwijk,Gabrielle Tana,William M. Connor",William Nicholson,United Artists Releasing,"Imagine Entertainment,Magnolia Mae,Storyteller Productions",PG-13 (Some Strong Language|Unsettling Images),Drama,English,"Jul 29, 2022, Limited","Aug 5, 2022",,2h 22m,Dolby Digital,Scope (2.35:1),Thirteen Lives,,,
