Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
Danny A. Abeckaser,,"Shmuel Lynn,Kosta Kondilopoulos",Gravitas Ventures,Gravitas Ventures,,"History,Drama,War",English,,"Mar 19, 2024",1h 25m,Bardejov,,,,,
Luke Sparke,"Carmel Imrie,Carly Imrie",Tom Evans,Roadside Attractions / Samuel Goldwyn Films,"Première TV Distribution,Sparke Films",R (Violence|Pervasive Language),"Action,Mystery & Thriller,Crime,Drama",Australian English,"Jan 19, 2024, Limited","Jan 19, 2024",1h 36m,Bring Him to Me,,,$1.5K,,
Damien LeVeck,"Shirit Bradley,Dan Clifton,Damien LeVeck,Natalie LeVeck","Damien LeVeck,Aaron Horwitz",,Skubalon,,Horror,English,,"Jan 19, 2021",1h 34m,The Cleansing Hour,,,,,
"Dominic Higgins,Ian Higgins","Nigel Martin Davey,John A Dawson","Dominic Higgins,Ian Higgins",AMCOMRI / 101 Films,"Pixel Revolution Films,Red Storm Film Company",,"War,Biography,History,Drama",British English,,"Mar 12, 2024",1h 48m,The Shamrock Spitfire,,,,,
James Cox,"Holly Wiersma,Michael Paseornek","Captain Mauzner,James Cox,Todd Samovitz,D. Loriston Scott",Lionsgate Films,"Killer Films,Emmett/Furla Films",R,"Crime,Drama,Biography",English,"Oct 17, 2003, Wide","Feb 1, 2011",1h 44m,Wonderland,Surround,,$1.1M,,
"Richard Phelan,Will Becher",Paul Kewley,"Mark Burton,Jon Brown",,"StudioCanal International,Bona Film Group,Aardman Animations,Anton,StudioCanal,Amazon Prime Video,MEDIA Programme of the European Union",G,"Kids & Family,Comedy,Adventure,Sci-Fi,Animation",British English,,"Feb 14, 2020",1h 27m,A Shaun the Sheep Movie: Farmageddon,"Dolby Atmos,DTS",Scope (2.35:1),,,
Leos Carax,"Charles Gillibert,Paul-Dominique Win Vacharasinthu","Ron Mael,Russell Mael",Amazon Studios,"Detailfilm,arte France Cinéma,Scope Pictures,RTBF,Tribus P. Films,Wrong Men,CG Cinéma,Theo Films,Eurospace,UGC",R (Sexual Content|Language|Some Nudity),Drama,English,"Aug 6, 2021, Limited","Aug 20, 2021",2h 19m,Annette,,Flat (1.85:1),,,
Jessica Hausner,"Johannes Schubert,Bruno Wagner,Philippe Bober,Mike Goodridge","Jessica Hausner,Géraldine Bajard",Film Movement,"Paloma Productions,Arte,Société Parisienne de Production,Coproduction Office,Danish Film Institute,Coop99 Filmproduktion,Club Zero,Essential Filmproduktion GmbH",,"Drama,Mystery & Thriller",English,"Mar 15, 2024, Limited","May 21, 2024",1h 50m,Club Zero,Dolby Digital,Flat (1.85:1),$11.4K,,
Erica Arvold,,Meredith Grace Dabney,,"Astrabeta Creations,Point Nine Films ,Arvold ",,Drama,English,,,16m,Here Today,,,,,
Barbara Topsøe-Rothenborg,Marcella Linstad Dichmann,"Anders Rønnow Klarlund,Jacob Weinreich",,"Netflix Studios,TV 2 Film,SF Studios",,Mystery & Thriller,Danish,,"Aug 26, 2022",1h 44m,Loving Adults,,,,,
Kaneto Shindô,,Kaneto Shindô,,Kindai Eiga Kyokai,,"Horror,Fantasy",Japanese,,"Oct 15, 2020",1h 45m,Onibaba,,,,,
